0.090702948,1,,
0.770975057,1,-,+
0.770975057,0.961344538,-,+
1.133786848,0.961344538,-,+
1.133786848,0.919327731,-,+
1.904761905,0.919327731,-,+
1.904761905,0.900840336,-,+
2.0861678,0.900840336,-,+
2.0861678,0.882352941,-,+
5.396825397,0.878991597,-,+
5.396825397,0.863865546,-,+
5.532879819,0.863865546,-,+
5.532879819,0.843697479,-,+
6.213151927,0.843697479,-,+
6.258503401,0.821848739,-,+
6.575963719,0.821848739,-,+
6.621315193,0.779831933,-,+
6.93877551,0.779831933,-,+
6.93877551,0.759663866,-,+
7.256235828,0.757983193,-,+
7.301587302,0.721008403,-,+
9.070294785,0.721008403,-,+
9.070294785,0.699159664,-,+
11.11111111,0.699159664,-,+
11.15646259,0.682352941,-,+
12.6984127,0.680672269,-,+
12.6984127,0.660504202,-,+
13.42403628,0.658823529,-,+
13.42403628,0.642016807,-,+
14.33106576,0.642016807,-,+
14.37641723,0.621848739,-,+
17.86848073,0.621848739,-,+
17.86848073,0.601680672,-,+
19.50113379,0.601680672,-,+
19.50113379,0.581512605,-,+
21.81405896,0.581512605,-,+
21.81405896,0.561344538,-,+
23.85487528,0.561344538,-,+
23.90022676,0.541176471,-,+
26.12244898,0.541176471,-,+
26.12244898,0.521008403,-,+
26.66666667,0.521008403,-,+
26.66666667,0.500840336,-,+
29.93197279,0.500840336,-,+
29.93197279,0.482352941,-,+
30.11337868,0.478991597,-,+
30.11337868,0.460504202,-,+
32.6984127,0.460504202,-,+
32.6984127,0.440336134,-,+
37.55102041,0.440336134,-,+
37.59637188,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.396638655,-,+
49.88662132,0.394957983,-,+
49.88662132,0.394957983,-,+
49.88662132,0.394957983,-,+
49.88662132,0.394957983,-,+
